x,ABP
22.220000000000002,96.434
22.24,95.585
22.26,94.719
22.280000000000005,93.85
22.3,93.001
22.32,92.187
22.34,91.406
22.36,90.65
22.380000000000003,89.911
22.4,89.187
22.42,88.477
22.439999999999998,87.784
22.46,87.107
22.480000000000004,86.446
22.5,85.799
22.520000000000003,85.166
22.54,84.547
22.560000000000002,83.939
22.580000000000002,83.344
22.6,82.76
22.62,82.188
22.64,81.626
22.66,81.075
22.680000000000003,80.534
22.7,82.715
22.720000000000002,93.75
22.74,104.101
22.76,112.284
22.780000000000005,117.696
22.8,119.837
22.82,118.489
22.84,113.73
22.86,106.136
22.880000000000003,104.05
22.9,102.549
22.92,100.94
22.939999999999998,99.46
22.96,98.247
22.980000000000004,97.267
23,96.4
23.020000000000003,95.55
23.04,94.684
23.060000000000002,93.815
23.080000000000002,92.967
23.1,92.154
23.12,91.375
23.14,90.62
23.16,89.882
23.180000000000003,89.158
23.2,88.449
23.220000000000002,87.756
23.24,87.079
23.26,86.419
23.280000000000005,85.773
23.3,85.141
23.32,84.521
23.34,83.914
23.36,83.32
23.380000000000003,82.736
23.4,82.164
23.42,81.603
23.439999999999998,81.053
23.46,80.512
23.480000000000004,83.092
23.5,94.186
23.520000000000003,104.465
23.54,112.551
23.560000000000002,117.843
23.580000000000002,119.85
23.6,118.366
23.62,113.479
23.64,105.96
23.66,103.996
23.680000000000003,102.488
23.7,100.879
23.720000000000002,99.409
23.74,98.207
23.76,97.232
23.780000000000005,96.367
23.8,95.517
23.82,94.651
23.84,93.782
23.86,92.936
23.880000000000003,92.124
23.9,91.346
23.92,90.591
23.939999999999998,89.854
23.96,89.13
23.980000000000004,88.422
24,87.729
24.020000000000003,87.054
24.04,86.394
24.060000000000002,85.748
24.080000000000002,85.117
24.1,84.498
24.12,83.891
24.14,83.297
24.16,82.714
24.180000000000003,82.143
24.2,81.582
24.220000000000002,81.032
24.24,80.491
24.26,83.466
24.280000000000005,94.619
24.3,104.824
24.32,112.813
24.34,117.985
24.36,119.858
24.380000000000003,118.238
24.4,113.223
24.42,105.798
24.439999999999998,103.94
24.46,102.425
24.480000000000004,100.818
24.5,99.356
24.520000000000003,98.165
24.54,97.197
24.560000000000002,96.334
24.580000000000002,95.483
24.6,94.616
24.62,93.748
24.64,92.903
24.66,92.093
24.680000000000003,91.316
24.7,90.562
24.720000000000002,89.825
24.74,89.102
24.76,88.394
24.780000000000005,87.702
24.8,87.027
24.82,86.368
24.84,85.723
24.86,85.092
24.880000000000003,84.474
24.9,83.868
24.92,83.274
24.939999999999998,82.691
24.96,82.12
24.980000000000004,81.56
25,81.01
25.020000000000003,80.47
25.04,83.86
25.060000000000002,95.05
25.080000000000002,105.181
25.1,113.071
25.12,118.122
25.14,119.86
25.16,118.105
25.180000000000003,112.962
25.2,105.648
25.220000000000002,103.883
25.24,102.362
25.26,100.756
25.280000000000005,99.303
25.3,98.122
25.32,97.161
25.34,96.3
25.36,95.449
25.380000000000003,94.581
25.4,93.714
25.42,92.87
25.439999999999998,92.061
25.46,91.285
25.480000000000004,90.532
25.5,89.796
25.520000000000003,89.073
25.54,88.366
25.560000000000002,87.675
25.580000000000002,87
25.6,86.342
25.62,85.698
25.64,85.067
25.66,84.449
25.680000000000003,83.843
25.7,83.25
25.720000000000002,82.668
25.74,82.097
25.76,81.537
25.780000000000005,80.988
25.8,80.448
25.82,84.263
25.84,95.478
25.86,105.535
25.880000000000003,113.325
25.9,118.254
25.92,119.857
25.939999999999998,117.966
25.96,112.697
25.980000000000004,105.53
26,103.829
26.020000000000003,102.301
26.04,100.696
26.060000000000002,99.254
26.080000000000002,98.083
26.1,97.128
26.12,96.268
26.14,95.416
26.16,94.548
26.180000000000003,93.681
26.2,92.839
26.220000000000002,92.031
26.24,91.256
26.26,90.504
26.280000000000005,89.768
26.3,89.046
26.32,88.339
26.34,87.649
26.36,86.975
26.380000000000003,86.317
26.4,85.673
26.42,85.043
26.439999999999998,84.426
26.46,83.82
26.480000000000004,83.227
26.5,82.646
26.520000000000003,82.076
26.54,81.516
26.560000000000002,80.967
26.580000000000002,80.428
26.6,84.666
26.62,95.904
26.64,105.884
26.66,113.574
26.680000000000003,118.381
26.7,119.85
26.720000000000002,117.823
26.74,112.427
26.76,105.41
26.780000000000005,103.772
26.8,102.237
26.82,100.634
26.84,99.201
